frame,x,y,z,roll,pitch,yaw,tracking_state,n_keypoints,n_map_matches,is_keyframe
289,-0.750725,-0.005606,1.115432,8.793,-18.339,27.860,OK,753,182,0
290,-0.751073,-0.005573,1.116543,8.906,-18.407,28.347,OK,798,186,0
291,-0.751525,-0.005816,1.117864,8.978,-18.539,28.922,OK,800,194,0
292,-0.751966,-0.006080,1.118794,8.902,-18.647,29.490,OK,844,189,0
293,-0.754193,-0.007059,1.120147,8.731,-18.925,30.656,OK,839,185,0
294,-0.754979,-0.006717,1.120632,8.943,-18.940,31.194,OK,875,183,0
295,-0.755342,-0.007790,1.122099,8.663,-19.193,31.857,OK,859,225,0
296,-0.755821,-0.007604,1.124586,8.921,-19.281,32.489,OK,885,224,0
297,-0.755819,-0.007895,1.126316,8.828,-19.388,33.070,OK,853,221,0
298,-0.755407,-0.007858,1.126201,8.797,-19.452,33.781,OK,928,209,0
299,-0.755338,-0.007888,1.126991,8.938,-19.557,34.225,OK,930,247,0
300,-0.755594,-0.008285,1.129007,8.830,-19.696,34.888,OK,987,270,0
301,-0.754408,-0.008849,1.130340,8.674,-19.858,34.853,OK,1042,278,0
302,-0.755210,-0.008261,1.132467,9.004,-19.898,35.502,OK,1000,306,0
303,-0.757716,-0.008386,1.118554,9.304,-19.813,35.200,OK,1072,296,0
304,-0.758500,-0.007342,1.116561,10.071,-19.791,35.404,OK,1093,283,0
305,-0.758609,-0.007584,1.113286,9.827,-19.794,35.601,OK,1128,271,0
306,-0.758423,-0.007686,1.113731,9.858,-19.891,36.016,OK,1150,277,0
307,-0.758643,-0.007640,1.115518,9.899,-19.976,36.600,OK,1151,249,0
308,-0.759741,-0.007808,1.114567,10.063,-20.130,37.270,OK,1144,223,0
309,-0.759829,-0.008149,1.117369,9.985,-20.286,37.949,OK,1163,238,0
310,-0.759753,-0.008231,1.116720,10.018,-20.360,38.350,OK,1162,237,0
311,-0.760177,-0.008187,1.116930,10.016,-20.415,38.879,OK,1158,219,0
312,-0.760195,-0.008273,1.117448,10.304,-20.585,39.373,OK,1166,214,0
313,-0.759785,-0.008243,1.118056,10.182,-20.622,39.810,OK,1174,208,0
314,-0.759653,-0.008261,1.118260,10.337,-20.735,40.233,OK,1163,396,0
315,-0.759484,-0.008217,1.118448,10.476,-20.829,40.598,OK,1176,369,0
316,-0.759862,-0.008390,1.118146,10.531,-20.968,41.141,OK,1162,353,0
317,-0.759635,-0.008384,1.118538,10.722,-21.099,41.513,OK,1157,341,0
318,-0.759950,-0.008414,1.118102,10.708,-21.165,42.003,OK,1155,381,0
319,-0.759960,-0.008400,1.118078,10.691,-21.217,42.480,OK,1170,324,0
320,-0.760154,-0.008285,1.118387,10.850,-21.320,42.885,OK,1182,326,0
